ID,Page,Section heading,Category,Theorem level,Finding type,Severity,Status,Verification reference,Notes,Surrounding text quote (truncated),Issue / improvement,Strongest upgrade construction,Verification / consistency probe
11,7,Summary,Capelli projective curvature,T_Capelli,Upgrade,Critical,verified,"Thm \ref{thm:main-local} (main.tex:7768) eq:cent-extension central charge ℏN[c̄]=Ω_central|_{J(f)}; eq:ope-projective J_f(z)J_g(w)~K^(2)_Δ(z,w)(J_{f,g}(w)+ℏN[{f,g}]_0); Thm \ref{thm:capelli-equals-modular-curvature}",Capelli scalar = curvature of modular line bundle at trace generator,"2) with null-homotopies supplied by the completion constructions of Appendix G. Capelli scalar anomaly. Closed Hamiltonian reduction quotients the constant Hamiltonian line ℂ· 1,on which Tr 1 = 𝑁; the brane retains it as",Do not phrase the finite-N scalar as a defect or removable anomaly; it is projective curvature and must appear before any scalar-reduced shadow.,"State 0 -> C K -> g_cent -> g -> 0 and omega(f,g)=[{f,g}]_0 next to every finite-N central term.","Test {Tr phi_1, Tr phi_2}=N and [Phi_hbar(z1),Phi_hbar(z2)]_star=hbar N I."
12,7,Summary,Capelli projective curvature,T_Capelli,Verification probe,Critical,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (2) {Tr φ_1, Tr φ_2}=N; plus Thm \ref{thm:capelli-equals-modular-curvature} ℏN[c̄]=Ω_central|_{J(f)}",Capelli scalar probes at main.tex:8114-8117,"2) with null-homotopies supplied by the completion constructions of Appendix G. Capelli scalar anomaly. Closed Hamiltonian reduction quotients the constant Hamiltonian line ℂ· 1,on which Tr 1 = 𝑁; the brane retains it as",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"State 0 -> C K -> g_cent -> g -> 0 and omega(f,g)=[{f,g}]_0 next to every finite-N central term.","Test {Tr phi_1, Tr phi_2}=N and [Phi_hbar(z1),Phi_hbar(z2)]_star=hbar N I."
13,8,Contents,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Upgrade,High,verified,"Thm \ref{thm:main-local} (main.tex:7768): A^cl_bulk|_b ≃ Z^{der,adm}_{E_1}(A^cl_∂,N) ≃ HH^•_adm(A^cl_∂,N, A^cl_∂,N); Def \ref{defn:admissible-hochschild-centre-lift} centrality homotopies; Thm \ref{thm:protected-summand-exhausts} (main.tex:8156)","Derived E_1-centre = adm Hochschild cohomology, generators (J(f),θ_f,K)",rs and the large 𝑁limit . . . . . . . . . . . . . . . 77 4 Boundary algebra and trace map . . . . . . . . . . . . . . . . . . . . . . . . . 90 4.1 The reduced CE/PV trace map . . . . . . . . . . . . . . . . . . . . . . 9,"Make the trace map forced rather than chosen: Dirac/Koszul descent, primitive trace generation, and Darboux naturality should all be visible.",Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
14,8,Contents,Trace uniqueness / Dirac brane,T_Hoch / T_trace,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (8): [Phi_N(x),a]_G=dH^prod_{x,a} and {Phi_N(x),a}_{P_0}=dH^{P_0}_{x,a}",Hochschild centrality probe at main.tex:8137-8141,rs and the large 𝑁limit . . . . . . . . . . . . . . . 77 4 Boundary algebra and trace map . . . . . . . . . . . . . . . . . . . . . . . . . 90 4.1 The reduced CE/PV trace map . . . . . . . . . . . . . . . . . . . . . . 9,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the adjacent-word-swap boundary Q Tr(psi v u) and terminality of primitive single-trace Darboux-natural maps.,Check Tr(u phi1 phi2 v)-Tr(u phi2 phi1 v)=Q Tr(psi v u).
15,9,Contents,Compact-target transport,T_compact,Upgrade,Medium,verified,"Thm \ref{thm:main-global-conditional} (main.tex:8323) compact-target clause: additional Ob^V_mod operator-level modular-line obstruction, scalar shadow Φ_10 with Δ_5=Φ_10^{1/2}; cross-volume firewall flagged (no compact-CY conclusion follows from local theorem alone)",Compact transport remains conditional; matched-conventions theorem required separately,erator-level lift of the modular line on 𝐾3 × 𝐸. . . . 332 10.4 Frontier input: MNOP and framing on 𝑆3 . . . . . . . . . . . . . . . . 332 10.5 Frontier input: Hall–Drinfeld realisation on compact CY3 . . . . . . . . 333,Keep compact-target comparisons separate from the local theorem; they require their own matched-conventions acceptance class.,"Route BCOV, K3xE, Hall-Drinfeld-Borcherds, MNOP, and OSV through T_compact -> T_KN/global with Ob_UKD.","Check residue/Euler normalization, orientation, framing, and genus-expansion endpoint conventions before transport."
16,9,Contents,Compact-target transport,T_compact,Verification probe,Medium,verified,Thm \ref{thm:main-global-conditional} (main.tex:8323) compact-target clause: Ob^V_mod operator-level lift on K3×E; Φ_10 scalar shadow with Δ_5=Φ_10^{1/2} (main.tex:8377-8383),Compact transport obstruction Ob^V_mod; cross-volume firewall holds,erator-level lift of the modular line on 𝐾3 × 𝐸. . . . 332 10.4 Frontier input: MNOP and framing on 𝑆3 . . . . . . . . . . . . . . . . 332 10.5 Frontier input: Hall–Drinfeld realisation on compact CY3 . . . . . . . . 333,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"Route BCOV, K3xE, Hall-Drinfeld-Borcherds, MNOP, and OSV through T_compact -> T_KN/global with Ob_UKD.","Check residue/Euler normalization, orientation, framing, and genus-expansion endpoint conventions before transport."
17,10,Contents,Chiral E_d / global descent,T_KN/global,Upgrade,Critical,verified,Thm \ref{thm:main-global-conditional} (main.tex:8323): A^cl_bulk ≃ Z^{der}_{E_2^HT}(C^op_∂) ⟺ Ob^global=Ob^chE2_Deligne ⊕ Ob^KN_desc ⊕ Ob^all-loop_QME = 0; Rmk on local trivialisation (main.tex:8386),Global as exact obstruction-vanishing theorem; chiral E_d-Deligne open at d≥2,ed holomorphic-topological refinement . . . . . . . . . . . . . . . 350 A.3 The chiral derived centre functor . . . . . . . . . . . . . . . . . . . . . 350 A.4 The formal-Darboux stalk functor . . . . . . . . . . . . . .,Do not let the formal-Darboux stalk masquerade as the global theorem; strengthen globality by naming the complete obstruction vector.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
18,10,Contents,Chiral E_d / global descent,T_KN/global,Verification probe,Critical,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (10): [d_2]∈H^2(∂X^KN, Hom^{-1}(H^•,H^•)); plus Thm \ref{thm:main-global-conditional} (main.tex:8323) Ob^global=Ob^chE2⊕Ob^KN_desc⊕Ob^all-loop_QME = 0",Global descent probe at main.tex:8145-8149,ed holomorphic-topological refinement . . . . . . . . . . . . . . . 350 A.3 The chiral derived centre functor . . . . . . . . . . . . . . . . . . . . . 350 A.4 The formal-Darboux stalk functor . . . . . . . . . . . . . .,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,State A_bulk^cl ~= Z_{E2^HT}^{der}(C_partial^op) iff Ob_global=Ob_Deligne^{chE2}+Ob_desc^{KN}+Ob_QME^{all-loop}=0.,"Check chiral-E2, KN descent, and all-loop QME components vanish separately on the formal disk."
19,11,Contents > Local dictionary,Pro-Matlis / residue duality,T_kernel,Upgrade,High,verified,Thm \ref{thm:main-local} (main.tex:7768) axiom (v) K^(2)_Δ bracket+kernel admissibility; Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643) item 2 admissible Θ_B; Appendix I §6 kernel-admissible K_B; Appendix B pro-Matlis principal parts,Diagonal Casimir convergence + K^(2)_Δ as kernel-admissible MC tensor,"ensional in this filtration, and its strict continuous dual is the Grothendieck–Matlis principal-part module 𝔥∨ cont = P = 𝐻2 𝔪(𝐴) ⊗𝜔𝐴= M 𝑎+𝑏>0 ℂ𝜌𝑎,𝑏, 𝜌𝑎,𝑏= 𝑧−𝑎−1 1 𝑧−𝑏−1 2 𝑑𝑧1 𝑑𝑧2, ind-finite-dimensional, with the resid","Strengthen the residue-side infrastructure: whenever P or Matlis windows occur, state whether the object is finite-window, pro-window, or completed Tate.",Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
20,11,Contents > Local dictionary,Pro-Matlis / residue duality,T_kernel,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (7) Kernel Maurer-Cartan dΘ_B+½[Θ_B,Θ_B]=0; plus probe (11) curve restriction R(K^(2)_Δ)=dw/(w-w')","Kernel/Casimir probes at main.tex:8134-8136, 8150-8152","ensional in this filtration, and its strict continuous dual is the Grothendieck–Matlis principal-part module 𝔥∨ cont = P = 𝐻2 𝔪(𝐴) ⊗𝜔𝐴= M 𝑎+𝑏>0 ℂ𝜌𝑎,𝑏, 𝜌𝑎,𝑏= 𝑧−𝑎−1 1 𝑧−𝑏−1 2 𝑑𝑧1 𝑑𝑧2, ind-finite-dimensional, with the resid",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
21,12,Contents > Local dictionary,Pro-Matlis / residue duality,T_kernel,Upgrade,High,verified,Thm \ref{thm:main-local} (main.tex:7768) axiom (v) K^(2)_Δ bracket+kernel admissibility; Thm \ref{thm:universal-ce-pv-koszul-criterion} (main.tex:7643) item 2 admissible Θ_B; Appendix I §6 kernel-admissible K_B; Appendix B pro-Matlis principal parts,Diagonal Casimir convergence + K^(2)_Δ as kernel-admissible MC tensor,"additionally requires a Tate/weighted category in which the Casimir converges. Residue / cyclic trace density The same orientation fixes the principal-part residue pairing 𝜌𝑎,𝑏= 𝑧−𝑎−1 1 𝑧−𝑏−1 2 𝑑𝑧1𝑑𝑧2, Res0(𝜌𝑎,𝑏𝑧𝑚 1 𝑧𝑛 2","Strengthen the residue-side infrastructure: whenever P or Matlis windows occur, state whether the object is finite-window, pro-window, or completed Tate.",Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
22,12,Contents > Local dictionary,Pro-Matlis / residue duality,T_kernel,Verification probe,High,verified,"Rmk \ref{rmk:consistency-probes} (main.tex:8107) probe (7) Kernel Maurer-Cartan dΘ_B+½[Θ_B,Θ_B]=0; plus probe (11) curve restriction R(K^(2)_Δ)=dw/(w-w')","Kernel/Casimir probes at main.tex:8134-8136, 8150-8152","additionally requires a Tate/weighted category in which the Casimir converges. Residue / cyclic trace density The same orientation fixes the principal-part residue pairing 𝜌𝑎,𝑏= 𝑧−𝑎−1 1 𝑧−𝑏−1 2 𝑑𝑧1𝑑𝑧2, Res0(𝜌𝑎,𝑏𝑧𝑚 1 𝑧𝑛 2",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,Add the coadjoint-action formula and a continuity estimate near this use; distinguish finite-window failure from pro-Matlis legality.,"Check Res_0(rho_{a,b} z1^m z2^n)=delta_{a,m}delta_{b,n} and the induced coadjoint action."
23,13,Contents > Local dictionary,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"Contents 11 The dg Lie input of an acceptable factorization algebra is therefore locally constant in ℝ2 top and holomorphic in 𝐵⊂ℂ2 hol, Ω• 𝑐(𝑈)b⊗Ω0,• 𝑐(𝐵)b⊗𝔤, 𝔤= 𝔥⋉𝔥∨ cont[1], with 𝑃0-bracket on smeared currents fixed b",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
24,13,Contents > Local dictionary,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"Contents 11 The dg Lie input of an acceptable factorization algebra is therefore locally constant in ℝ2 top and holomorphic in 𝐵⊂ℂ2 hol, Ω• 𝑐(𝑈)b⊗Ω0,• 𝑐(𝐵)b⊗𝔤, 𝔤= 𝔥⋉𝔥∨ cont[1], with 𝑃0-bracket on smeared currents fixed b",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
25,14,Contents > Local dictionary,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,"12 Contents Object Definition and scope Mixed topological-current enhancement over ℝ2 For a topological open 𝑈⊂ℝ2 top and holomorphic polydisk 𝐵⊂ℂ2 hol, the mixed current input is 𝔤mix 𝑈,𝐵= Ω• 𝑐(𝑈)b⊗Ω0,• 𝑐(𝐵)b⊗(𝔥⋉𝔥∨ cont",Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
26,14,Contents > Local dictionary,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,"12 Contents Object Definition and scope Mixed topological-current enhancement over ℝ2 For a topological open 𝑈⊂ℝ2 top and holomorphic polydisk 𝐵⊂ℂ2 hol, the mixed current input is 𝔤mix 𝑈,𝐵= Ω• 𝑐(𝑈)b⊗Ω0,• 𝑐(𝐵)b⊗(𝔥⋉𝔥∨ cont",Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
27,15,Contents > Local dictionary,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,Contents 13 Object Definition and scope One-dimensional vertex/OPE restriction boundary A restriction of the ℂ2 Hamiltonian holomorphic factorization algebra to a one-complex-dimensional vertex/OPE algebra starts from th,Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
28,15,Contents > Local dictionary,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,Contents 13 Object Definition and scope One-dimensional vertex/OPE restriction boundary A restriction of the ℂ2 Hamiltonian holomorphic factorization algebra to a one-complex-dimensional vertex/OPE algebra starts from th,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
29,16,Contents > Local dictionary,References / exposition,T_exposition,Upgrade,Low,verified,"Bibliographic / cross-reference polish; the surrounding statement is already inscribed in stronger form at the load-bearing locations (Thm \ref{thm:main-local} main.tex:7768, Prop \ref{prop:monotone-strength-tower} main.tex:8202, Thm \ref{thm:main-global-conditional} main.tex:8323, Rmk \ref{rmk:consistency-probes} main.tex:8107)",Exposition entry; load-bearing content lives elsewhere,14 Contents Object Definition and scope Compatibility with the Weyl/Moyal brane algebra A one-dimensional vertex/OPE restriction must also specify how the degree-zero brane algebra acts on the restricted object. Equivale,Reduce rhetorical load by making the claim/test/obstruction triad explicit in exposition-heavy passages.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
30,16,Contents > Local dictionary,References / exposition,T_exposition,Verification probe,Low,verified,Exposition probe — pass/fail tests for the load-bearing statements are the 11 consistency probes of Rmk \ref{rmk:consistency-probes} (main.tex:8107),Exposition; probes live at the load-bearing remark,14 Contents Object Definition and scope Compatibility with the Weyl/Moyal brane algebra A one-dimensional vertex/OPE restriction must also specify how the degree-zero brane algebra acts on the restricted object. Equivale,Turn the local statement on this page into an explicit pass/fail mathematical or physical test.,"For each named theorem or comparison, add: category, input data, output, obstruction class, and verification probe.",Check that every theorem reference on this page resolves to hypotheses and target category.
